"","peak","C","O","H","N","S","P","MolForm"
"583",154.9986727,6,5,4,0,0,0,NA
"584",155.0099165,5,4,4,2,0,0,NA
"585",157.0507429,7,4,10,0,0,0,NA
"586",157.1235033,9,2,18,0,0,0,NA
"587",159.0663768,7,4,12,0,0,0,NA
"588",161.0245005,9,3,6,0,0,0,NA
"589",161.0357657,8,2,6,2,0,0,NA
"590",161.0456547,6,5,10,0,0,0,NA
"591",162.0197304,8,3,5,1,0,0,NA
"592",163.040156,9,3,8,0,0,0,NA
"593",164.0354753,8,3,7,1,0,0,NA
"594",165.0191746,8,4,6,0,0,0,NA
"595",165.0194447,8,4,6,0,0,0,NA
"596",165.0405636,5,6,10,0,0,0,NA
"597",165.0558151,9,3,10,0,0,0,NA
"598",166.0146758,7,4,5,1,0,0,NA
"599",167.0351007,8,4,8,0,0,0,NA
"600",169.0507841,8,4,10,0,0,0,NA
"601",171.0452254,11,2,8,0,0,0,NA
"602",171.066394,8,4,12,0,0,0,NA
"603",171.1391701,10,2,20,0,0,0,NA
"604",173.0820524,8,4,14,0,0,0,NA
"605",175.0612346,7,5,12,0,0,0,NA
"606",179.0351659,5,4,11,1,0,1,NA
"607",179.0562654,6,6,12,0,0,0,NA
"608",180.0304679,4,4,10,2,0,1,NA
"609",181.0142223,8,5,6,0,0,0,NA
"610",187.015151,5,3,7,3,0,1,NA
"611",187.0975817,9,4,16,0,0,0,NA
"612",188.0354292,10,3,7,1,0,0,NA
"613",188.0565098,7,5,11,1,0,0,NA
"614",189.0195479,6,4,9,1,0,1,NA
"615",189.0307155,9,3,6,2,0,0,NA
"616",190.0145982,9,4,5,1,0,0,NA
"617",190.9986833,9,5,4,0,0,0,NA
"618",191.0197613,6,7,8,0,0,0,NA
"619",193.0507199,10,4,10,0,0,0,NA
"620",195.0299409,9,5,8,0,0,0,NA
"621",196.9193828,7,1,2,0,3,0,NA
"622",205.0143295,10,5,6,0,0,0,NA
"623",205.0254777,9,4,6,2,0,0,NA
"624",206.0096686,9,5,5,1,0,0,NA
"625",207.0664722,11,4,12,0,0,0,NA
"626",208.0253035,9,5,7,1,0,0,NA
"627",209.009328,9,6,6,0,0,0,NA
"628",211.0402457,13,3,8,0,0,0,NA
"629",211.097662,11,4,16,0,0,0,NA
"630",214.0146922,11,4,5,1,0,0,NA
"631",214.9299724,7,2,4,0,3,0,NA
"632",215.0352119,8,4,11,1,0,1,NA
"633",219.0300522,11,5,8,0,0,0,NA
"634",221.0092653,10,6,6,0,0,0,NA
"635",221.0667797,8,7,14,0,0,0,NA
"636",221.0820542,12,4,14,0,0,0,NA
"637",221.1547641,14,2,22,0,0,0,NA
"638",223.0249602,10,6,8,0,0,0,NA
"639",224.0200807,9,6,7,1,0,0,NA
"640",225.0042342,9,7,6,0,0,0,NA
"641",230.9911652,15,1,4,0,1,0,NA
"642",231.0300314,12,5,8,0,0,0,NA
"643",231.0562219,15,1,8,2,0,0,NA
"644",232.0253248,11,5,7,1,0,0,NA
"645",233.0092687,11,6,6,0,0,0,NA
"646",233.1547875,15,2,22,0,0,0,NA
"647",234.077202,12,4,13,1,0,0,NA
"648",235.0249671,11,6,8,0,0,0,NA
"649",239.0351075,10,4,11,1,0,1,NA
"650",239.1289716,13,4,20,0,0,0,NA
"651",239.9651436,9,4,6,0,1,1,NA
"652",240.0303617,13,4,7,1,0,0,NA
"653",241.0507458,14,4,10,0,0,0,NA
"654",241.1446722,13,4,22,0,0,0,NA
"655",242.0093548,12,5,5,1,0,0,NA
"656",242.0459244,13,4,9,1,0,0,NA
"657",243.920098,7,3,3,1,3,0,NA
"658",249.0041372,11,7,6,0,0,0,NA
"659",252.9991468,10,8,6,0,0,0,NA
"660",255.0299556,14,5,8,0,0,0,NA
"661",255.1602772,14,4,24,0,0,0,NA
"662",255.232999,16,2,32,0,0,0,NA
"663",256.0253034,13,5,7,1,0,0,NA
"664",257.0458228,10,5,13,1,0,1,NA
"665",258.0409386,13,5,9,1,0,0,NA
"666",259.0249363,13,6,8,0,0,0,NA
"667",264.0307585,11,4,10,2,0,1,NA
"668",265.0508124,16,4,10,0,0,0,NA
"669",266.0459249,15,4,9,1,0,0,NA
"670",267.0298585,15,5,8,0,0,0,NA
"671",269.0456104,15,5,10,0,0,0,NA
"672",271.02501,14,6,8,0,0,0,NA
"673",273.0729414,10,7,14,2,0,0,NA
"674",280.0251714,15,5,7,1,0,0,NA
"675",280.1222719,11,5,23,1,1,0,NA
"676",281.045268,16,5,10,0,0,0,NA
"677",282.0407598,15,5,9,1,0,0,NA
"678",283.0247924,15,6,8,0,0,0,NA
"679",283.2642985,18,2,36,0,0,0,NA
"680",284.0563934,15,5,11,1,0,0,NA
"681",285.0404427,15,6,10,0,0,0,NA
"682",291.9769381,8,9,7,1,1,0,NA
"683",293.1758252,17,4,26,0,0,0,NA
"684",296.9684968,15,3,6,0,2,0,NA
"685",297.0406,16,6,10,0,0,0,NA
"686",297.1708108,16,5,26,0,0,0,NA
"687",299.0196536,15,7,8,0,0,0,NA
"688",300.9423773,8,7,4,2,0,2,NA
"689",304.8359174,8,1,2,0,6,0,NA
"690",309.0400847,9,8,14,2,1,0,NA
"691",311.019602,16,7,8,0,0,0,NA
"692",311.0990494,12,5,24,0,2,0,NA
"693",311.9685439,12,4,10,0,2,1,NA
"694",313.035466,16,7,10,0,0,0,NA
