"","peak","C","O","H","N","S","P","MolForm"
"133",225.1497349,13,3,22,0,0,0,NA
"134",227.0023028,5,5,11,1,1,1,NA
"135",227.0561775,10,6,12,0,0,0,NA
"136",227.0678197,5,5,15,3,0,1,NA
"137",227.0925897,11,5,16,0,0,0,NA
"138",227.1289727,12,4,20,0,0,0,NA
"139",227.1653188,13,3,24,0,0,0,NA
"140",227.2017076,14,2,28,0,0,0,NA
"141",229.0179539,5,5,13,1,1,1,NA
"142",229.0718332,10,6,14,0,0,0,NA
"143",229.0830558,9,5,14,2,0,0,NA
"144",229.1082427,11,5,18,0,0,0,NA
"145",229.144641,12,4,22,0,0,0,NA
"146",229.1810305,13,3,26,0,0,0,NA
"147",231.0511933,9,7,12,0,0,0,NA
"148",231.0665663,9,4,15,1,0,1,NA
"149",231.0875297,10,6,16,0,0,0,NA
"150",231.1239364,11,5,20,0,0,0,NA
"151",231.1602949,12,4,24,0,0,0,NA
"152",233.0456293,12,5,10,0,0,0,NA
"153",233.0820322,13,4,14,0,0,0,NA
"154",233.1032034,10,6,18,0,0,0,NA
"155",233.1396367,11,5,22,0,0,0,NA
"156",233.1547875,15,2,22,0,0,0,NA
"157",234.0621026,8,7,13,1,0,0,NA
"158",235.0249671,11,6,8,0,0,0,NA
"159",235.0258673,12,1,12,0,2,0,NA
"160",235.0281995,8,6,12,0,1,0,NA
"161",235.0613494,12,5,12,0,0,0,NA
"162",235.0646332,9,5,16,0,1,0,NA
"163",235.0976713,13,4,16,0,0,0,NA
"164",235.1340369,14,3,20,0,0,0,NA
"165",235.1704463,15,2,24,0,0,0,NA
"166",236.0776916,8,7,15,1,0,0,NA
"167",236.9679004,9,8,2,0,0,0,NA
"168",236.9687913,10,3,6,0,2,0,NA
"169",237.005092,11,2,10,0,2,0,NA
"170",237.0405807,11,6,10,0,0,0,NA
"171",237.0439116,8,6,14,0,1,0,NA
"172",237.0616958,8,8,14,0,0,0,NA
"173",237.076964,12,5,14,0,0,0,NA
"174",237.0803631,9,5,18,0,1,0,NA
"175",237.1133203,13,4,18,0,0,0,NA
"176",237.1497107,14,3,22,0,0,0,NA
"177",238.9696793,7,1,12,0,4,0,NA
"178",238.9843561,10,3,8,0,2,0,NA
"179",239.0200265,6,7,11,1,0,1,NA
"180",239.0562735,11,6,12,0,0,0,NA
"181",239.0926138,12,5,16,0,0,0,NA
"182",239.1289716,13,4,20,0,0,0,NA
"183",239.1653941,14,3,24,0,0,0,NA
"184",241.0355815,10,7,10,0,0,0,NA
"185",241.0718644,11,6,14,0,0,0,NA
"186",241.1082909,12,5,18,0,0,0,NA
"187",241.1195803,11,4,18,2,0,0,NA
"188",241.1446722,13,4,22,0,0,0,NA
"189",241.1810218,14,3,26,0,0,0,NA
"190",241.217395,15,2,30,0,0,0,NA
"191",242.1762818,13,3,25,1,0,0,NA
"192",243.051222,10,7,12,0,0,0,NA
"193",243.0875313,11,6,16,0,0,0,NA
"194",243.123906,12,5,20,0,0,0,NA
"195",243.1602749,13,4,24,0,0,0,NA
"196",243.1715144,12,3,24,2,0,0,NA
"197",245.0126655,9,6,10,0,1,0,NA
"198",245.0305017,9,8,10,0,0,0,NA
"199",245.0457687,13,5,10,0,0,0,NA
"200",245.0668432,10,7,14,0,0,0,NA
"201",245.0820287,14,4,14,0,0,0,NA
"202",245.1031834,11,6,18,0,0,0,NA
"203",245.1395413,12,5,22,0,0,0,NA
"204",246.9919914,8,7,8,0,1,0,NA
"205",247.0250341,12,6,8,0,0,0,NA
"206",247.0613767,13,5,12,0,0,0,NA
"207",247.0976074,14,4,16,0,0,0,NA
"208",247.1340664,15,3,20,0,0,0,NA
"209",249.0406077,12,6,10,0,0,0,NA
"210",249.0439186,9,6,14,0,1,0,NA
"211",249.0770133,13,5,14,0,0,0,NA
"212",249.0802592,10,5,18,0,1,0,NA
"213",249.1133546,14,4,18,0,0,0,NA
"214",249.149736,15,3,22,0,0,0,NA
"215",251.019934,11,7,8,0,0,0,NA
"216",251.0231394,8,7,12,0,1,0,NA
"217",251.0562889,12,6,12,0,0,0,NA
"218",251.0595822,9,6,16,0,1,0,NA
"219",251.0773791,9,8,16,0,0,0,NA
"220",251.0925928,13,5,16,0,0,0,NA
"221",251.0958823,10,5,20,0,1,0,NA
"222",251.1137936,10,7,20,0,0,0,NA
"223",251.1289764,14,4,20,0,0,0,NA
"224",251.1653307,15,3,24,0,0,0,NA
"225",251.9545403,8,3,3,3,2,0,NA
"226",252.9991468,10,8,6,0,0,0,NA
"227",253.0355117,11,7,10,0,0,0,NA
"228",253.038787,8,7,14,0,1,0,NA
"229",253.0718755,12,6,14,0,0,0,NA
"230",253.075344,9,6,18,0,1,0,NA
"231",253.0832334,11,5,14,2,0,0,NA
"232",253.1082374,13,5,18,0,0,0,NA
"233",253.1446173,14,4,22,0,0,0,NA
"234",254.070613,8,6,17,1,1,0,NA
"235",254.9967459,10,6,8,0,1,0,NA
"236",255.051222,11,7,12,0,0,0,NA
"237",255.0874752,12,6,16,0,0,0,NA
"238",255.1239039,13,5,20,0,0,0,NA
"239",255.1602772,14,4,24,0,0,0,NA
"240",255.1966745,15,3,28,0,0,0,NA
"241",255.232999,16,2,32,0,0,0,NA
"242",256.9761784,9,7,6,0,1,0,NA
"243",257.0127019,10,6,10,0,1,0,NA
"244",257.0304547,10,8,10,0,0,0,NA
"245",257.0668726,11,7,14,0,0,0,NA
"246",257.1031692,12,6,18,0,0,0,NA
"247",257.1144775,11,5,18,2,0,0,NA
"248",257.139565,13,5,22,0,0,0,NA
"249",257.1759304,14,4,26,0,0,0,NA
"250",257.2123254,15,3,30,0,0,0,NA
"251",258.9918958,9,7,8,0,1,0,NA
"252",259.0249363,13,6,8,0,0,0,NA
"253",259.0282861,10,6,12,0,1,0,NA
"254",259.046124,10,8,12,0,0,0,NA
"255",259.0613502,14,5,12,0,0,0,NA
"256",259.0824426,11,7,16,0,0,0,NA
"257",259.0976889,15,4,16,0,0,0,NA
"258",259.1187535,12,6,20,0,0,0,NA
"259",259.1300733,11,5,20,2,0,0,NA
"260",259.1552258,13,5,24,0,0,0,NA
"261",259.1916264,14,4,28,0,0,0,NA
"262",261.0406462,13,6,10,0,0,0,NA
"263",261.0439175,10,6,14,0,1,0,NA
"264",261.07705,14,5,14,0,0,0,NA
"265",261.098032,11,7,18,0,0,0,NA
"266",261.1133571,15,4,18,0,0,0,NA
"267",261.1496612,16,3,22,0,0,0,NA
"268",262.093345,10,7,17,1,0,0,NA
"269",263.0199491,12,7,8,0,0,0,NA
"270",263.0571299,14,1,16,0,2,0,NA
"271",263.0595476,10,6,16,0,1,0,NA
"272",263.0773668,10,8,16,0,0,0,NA
"273",263.092604,14,5,16,0,0,0,NA
"274",263.1137353,11,7,20,0,0,0,NA
"275",263.1290236,15,4,20,0,0,0,NA
"276",264.0516222,12,6,11,1,0,0,NA
"277",264.8878073,5,3,2,2,4,0,NA
"278",264.9997134,12,3,10,0,2,0,NA
"279",265.0356864,8,7,13,1,0,1,NA
"280",265.0567488,9,9,14,0,0,0,NA
"281",265.0718891,13,6,14,0,0,0,NA
"282",265.0751806,10,6,18,0,1,0,NA
"283",265.1082395,14,5,18,0,0,0,NA
"284",265.1115731,11,5,22,0,1,0,NA
"285",265.1293522,11,7,22,0,0,0,NA
"286",265.1446113,15,4,22,0,0,0,NA
"287",265.1809981,16,3,26,0,0,0,NA
"288",267.0148482,11,8,8,0,0,0,NA
"289",267.0512063,12,7,12,0,0,0,NA
"290",267.0544425,9,7,16,0,1,0,NA
"291",267.0722291,9,9,16,0,0,0,NA
"292",267.0875282,13,6,16,0,0,0,NA
"293",267.0908279,10,6,20,0,1,0,NA
"294",267.1238607,14,5,20,0,0,0,NA
"295",267.1602916,15,4,24,0,0,0,NA
"296",268.046694,7,7,14,2,0,1,NA
"297",269.012537,11,6,10,0,1,0,NA
"298",269.0305538,11,8,10,0,0,0,NA
"299",269.049429,8,5,17,1,1,1,NA
"300",269.0668362,12,7,14,0,0,0,NA
"301",269.1031667,13,6,18,0,0,0,NA
"302",269.1395402,14,5,22,0,0,0,NA
"303",269.1758837,15,4,26,0,0,0,NA
"304",269.2123219,16,3,30,0,0,0,NA
"305",269.2486299,17,2,34,0,0,0,NA
"306",270.9919556,10,7,8,0,1,0,NA
"307",271.0461037,11,8,12,0,0,0,NA
"308",271.0614653,15,5,12,0,0,0,NA
"309",271.0824432,12,7,16,0,0,0,NA
"310",271.0937027,11,6,16,2,0,0,NA
"311",271.1188314,13,6,20,0,0,0,NA
"312",271.1551954,14,5,24,0,0,0,NA
"313",271.1915161,15,4,28,0,0,0,NA
"314",271.2279486,16,3,32,0,0,0,NA
"315",271.9486008,8,3,6,2,2,1,NA
"316",272.1616864,12,4,23,3,0,0,NA
"317",273.0078703,6,7,13,1,1,1,NA
"318",273.0406578,14,6,10,0,0,0,NA
"319",273.0439129,11,6,14,0,1,0,NA
"320",273.0617766,11,8,14,0,0,0,NA
"321",273.0729414,10,7,14,2,0,0,NA
"322",273.0769177,15,5,14,0,0,0,NA
"323",273.0980724,12,7,18,0,0,0,NA
"324",273.113354,16,4,18,0,0,0,NA
"325",273.1344469,13,6,22,0,0,0,NA
"326",273.1708549,14,5,26,0,0,0,NA
"327",275.0231387,10,7,12,0,1,0,NA
"328",275.0567534,15,1,16,0,2,0,NA
"329",275.0594807,11,6,16,0,1,0,NA
"330",275.0775036,11,8,16,0,0,0,NA
"331",275.0926573,15,5,16,0,0,0,NA
"332",275.1137005,12,7,20,0,0,0,NA
"333",275.1289519,16,4,20,0,0,0,NA
"334",275.1500988,13,6,24,0,0,0,NA
"335",275.1653941,17,3,24,0,0,0,NA
"336",277.0359714,14,2,14,0,2,0,NA
"337",277.038745,10,7,14,0,1,0,NA
"338",277.0727684,15,1,18,0,2,0,NA
"339",277.0751219,11,6,18,0,1,0,NA
"340",277.1082312,15,5,18,0,0,0,NA
"341",277.1114975,12,5,22,0,1,0,NA
"342",277.1293706,12,7,22,0,0,0,NA
"343",277.1446284,16,4,22,0,0,0,NA
"344",279.0148229,12,8,8,0,0,0,NA
"345",279.018188,9,8,12,0,1,0,NA
"346",279.0512785,13,7,12,0,0,0,NA
"347",279.0544649,10,7,16,0,1,0,NA
"348",279.0722855,10,9,16,0,0,0,NA
"349",279.0875094,14,6,16,0,0,0,NA
"350",279.0907771,11,6,20,0,1,0,NA
"351",279.1238533,15,5,20,0,0,0,NA
"352",279.1272173,12,5,24,0,1,0,NA
"353",279.1602213,16,4,24,0,0,0,NA
"354",280.9189308,6,3,6,2,4,0,NA
"355",280.9802241,9,2,14,0,4,0,NA
"356",280.9949455,12,4,10,0,2,0,NA
"357",281.0125074,12,6,10,0,1,0,NA
"358",281.0305149,12,8,10,0,0,0,NA
"359",281.033681,9,8,14,0,1,0,NA
"360",281.0667268,13,7,14,0,0,0,NA
"361",281.0700682,10,7,18,0,1,0,NA
"362",281.0879078,10,9,18,0,0,0,NA
"363",281.1031324,14,6,18,0,0,0,NA
"364",281.1065157,11,6,22,0,1,0,NA
"365",281.1395288,15,5,22,0,0,0,NA
"366",281.1758878,16,4,26,0,0,0,NA
"367",281.248659,18,2,34,0,0,0,NA
"368",282.8983862,5,4,4,2,4,0,NA
"369",282.9921149,7,7,11,1,1,1,NA
"370",283.0281547,12,6,12,0,1,0,NA
"371",283.0461569,12,8,12,0,0,0,NA
"372",283.0823904,13,7,16,0,0,0,NA
"373",283.0935574,12,6,16,2,0,0,NA
"374",283.1187988,14,6,20,0,0,0,NA
"375",283.1551922,15,5,24,0,0,0,NA
"376",283.2642985,18,2,36,0,0,0,NA
"377",284.8816006,9,3,2,0,4,0,NA
"378",285.0074652,11,7,10,0,1,0,NA
"379",285.0438996,12,6,14,0,1,0,NA
"380",285.0617522,12,8,14,0,0,0,NA
"381",285.0770958,16,5,14,0,0,0,NA
"382",285.0980526,13,7,18,0,0,0,NA
"383",285.1133298,17,4,18,0,0,0,NA
"384",285.1343664,14,6,22,0,0,0,NA
"385",285.1707838,15,5,26,0,0,0,NA
"386",285.207213,16,4,30,0,0,0,NA
"387",286.1773466,13,4,25,3,0,0,NA
"388",286.9412373,12,1,4,2,3,0,NA
