"","peak","C","O","H","N","S","P","MolForm"
"1",140.9763643,4,2,2,2,1,0,NA
"2",157.061722,6,3,10,2,0,0,NA
"3",157.1232603,9,2,18,0,0,0,NA
"4",158.0822751,7,3,13,1,0,0,NA
"5",160.0615197,6,4,11,1,0,0,NA
"6",161.0242879,9,3,6,0,0,0,NA
"7",164.0351658,8,3,7,1,0,0,NA
"8",164.0715435,9,2,11,1,0,0,NA
"9",165.0191746,8,4,6,0,0,0,NA
"10",167.0713965,9,3,12,0,0,0,NA
"11",169.0868582,9,3,14,0,0,0,NA
"12",169.123413,10,2,18,0,0,0,NA
"13",171.0297289,7,5,8,0,0,0,NA
"14",171.0564278,10,1,8,2,0,0,NA
"15",171.1389145,10,2,20,0,0,0,NA
"16",173.0454189,7,5,10,0,0,0,NA
"17",173.0817954,8,4,14,0,0,0,NA
"18",173.0931752,7,3,14,2,0,0,NA
"19",173.118147,9,3,18,0,0,0,NA
"20",175.0246831,6,6,8,0,0,0,NA
"21",175.0612346,7,5,12,0,0,0,NA
"22",175.0975864,8,4,16,0,0,0,NA
"23",177.0404925,6,6,10,0,0,0,NA
"24",177.0557368,10,3,10,0,0,0,NA
"25",177.0921518,11,2,14,0,0,0,NA
"26",178.9630391,8,1,4,0,2,0,NA
"27",179.0348197,9,4,8,0,0,0,NA
"28",179.0559748,6,6,12,0,0,0,NA
"29",180.0300658,8,4,7,1,0,0,NA
"30",180.0666734,9,3,11,1,0,0,NA
"31",181.0142223,8,5,6,0,0,0,NA
"32",181.0506502,9,4,10,0,0,0,NA
"33",181.0870537,10,3,14,0,0,0,NA
"34",182.0093747,7,5,5,1,0,0,NA
"35",183.0662922,9,4,12,0,0,0,NA
"36",183.1026997,10,3,16,0,0,0,NA
"37",183.1391178,11,2,20,0,0,0,NA
"38",184.0616935,8,4,11,1,0,0,NA
"39",185.0455605,8,5,10,0,0,0,NA
"40",185.0819115,9,4,14,0,0,0,NA
"41",185.1183318,10,3,18,0,0,0,NA
"42",185.1546872,11,2,22,0,0,0,NA
"43",186.1134765,9,3,17,1,0,0,NA
"44",187.0612154,8,5,12,0,0,0,NA
"45",187.0975817,9,4,16,0,0,0,NA
"46",187.1339671,10,3,20,0,0,0,NA
"47",188.0351757,10,3,7,1,0,0,NA
"48",189.0768751,8,5,14,0,0,0,NA
"49",189.1132457,9,4,18,0,0,0,NA
"50",191.0197613,6,7,8,0,0,0,NA
"51",191.034992,10,4,8,0,0,0,NA
"52",191.0561562,7,6,12,0,0,0,NA
"53",191.0712191,11,3,12,0,0,0,NA
"54",193.0142766,9,5,6,0,0,0,NA
"55",193.0354053,6,7,10,0,0,0,NA
"56",193.0507199,10,4,10,0,0,0,NA
"57",193.0871182,11,3,14,0,0,0,NA
"58",194.0425938,5,1,13,3,2,0,NA
"59",195.0299409,9,5,8,0,0,0,NA
"60",195.0510406,6,7,12,0,0,0,NA
"61",195.0663672,10,4,12,0,0,0,NA
"62",195.1027194,11,3,16,0,0,0,NA
"63",196.0252627,8,5,7,1,0,0,NA
"64",196.0616313,9,4,11,1,0,0,NA
"65",196.9193828,7,1,2,0,3,0,NA
"66",197.0092353,8,6,6,0,0,0,NA
"67",197.0455751,9,5,10,0,0,0,NA
"68",197.081987,10,4,14,0,0,0,NA
"69",197.1184027,11,3,18,0,0,0,NA
"70",197.1547364,12,2,22,0,0,0,NA
"71",197.9580369,4,3,8,0,2,1,NA
"72",198.0044249,7,6,5,1,0,0,NA
"73",198.0409217,8,5,9,1,0,0,NA
"74",199.061219,9,5,12,0,0,0,NA
"75",199.0976527,10,4,16,0,0,0,NA
"76",199.1340297,11,3,20,0,0,0,NA
"77",199.1702774,12,2,24,0,0,0,NA
"78",200.056533,8,5,11,1,0,0,NA
"79",200.129337,10,3,19,1,0,0,NA
"80",201.076955,9,5,14,0,0,0,NA
"81",201.0881617,8,4,14,2,0,0,NA
"82",201.1132806,10,4,18,0,0,0,NA
"83",201.1496973,11,3,22,0,0,0,NA
"84",201.9452013,5,6,1,1,1,0,NA
"85",203.0348325,11,4,8,0,0,0,NA
"86",203.0562452,8,6,12,0,0,0,NA
"87",203.0714596,12,3,12,0,0,0,NA
"88",203.0925793,9,5,16,0,0,0,NA
"89",203.1289536,10,4,20,0,0,0,NA
"90",204.9632668,6,4,6,0,2,0,NA
"91",205.0507108,11,4,10,0,0,0,NA
"92",205.0718645,8,6,14,0,0,0,NA
"93",205.0871177,12,3,14,0,0,0,NA
"94",205.1081773,9,5,18,0,0,0,NA
"95",207.0299549,10,5,8,0,0,0,NA
"96",207.0510706,7,7,12,0,0,0,NA
"97",207.0664722,11,4,12,0,0,0,NA
"98",207.1027427,12,3,16,0,0,0,NA
"99",208.0249627,9,5,7,1,0,0,NA
"100",208.0617766,6,4,14,2,0,1,NA
"101",208.9738228,9,2,6,0,2,0,NA
"102",209.009328,9,6,6,0,0,0,NA
"103",209.0457024,10,5,10,0,0,0,NA
"104",209.0819841,11,4,14,0,0,0,NA
"105",209.1183894,12,3,18,0,0,0,NA
"106",209.154784,13,2,22,0,0,0,NA
"107",210.0409391,9,5,9,1,0,0,NA
"108",210.9350633,8,1,4,0,3,0,NA
"109",210.9894489,9,2,8,0,2,0,NA
"110",211.0249154,9,6,8,0,0,0,NA
"111",211.0612634,10,5,12,0,0,0,NA
"112",211.097662,11,4,16,0,0,0,NA
"113",211.1340602,12,3,20,0,0,0,NA
"114",211.1704492,13,2,24,0,0,0,NA
"115",211.9736627,5,3,10,0,2,1,NA
"116",212.0201018,8,6,7,1,0,0,NA
"117",213.0406527,9,6,10,0,0,0,NA
"118",213.0769276,10,5,14,0,0,0,NA
"119",213.1133226,11,4,18,0,0,0,NA
"120",213.1496566,12,3,22,0,0,0,NA
"121",213.1860444,13,2,26,0,0,0,NA
"122",214.1449893,11,3,21,1,0,0,NA
"123",214.9299724,7,2,4,0,3,0,NA
