peak,C,O,H,N,S,P,MolForm
224.0567906,6,5,14,2,0,1,NA
225.040651,10,6,10,0,0,0,NA
225.061598,7,8,14,0,0,0,NA
225.0769291,11,5,14,0,0,0,NA
225.1133605,12,4,18,0,0,0,NA
225.1497349,13,3,22,0,0,0,NA
226.0361867,5,6,12,2,0,1,NA
227.0561775,10,6,12,0,0,0,NA
227.0925897,11,5,16,0,0,0,NA
227.1038978,10,4,16,2,0,0,NA
227.1289727,12,4,20,0,0,0,NA
227.1653188,13,3,24,0,0,0,NA
227.2017076,14,2,28,0,0,0,NA
228.160626,12,3,23,1,0,0,NA
228.9456738,8,2,6,0,3,0,NA
229.0718332,10,6,14,0,0,0,NA
229.0830558,9,5,14,2,0,0,NA
229.1082427,11,5,18,0,0,0,NA
229.144641,12,4,22,0,0,0,NA
229.1558355,11,3,22,2,0,0,NA
229.1810305,13,3,26,0,0,0,NA
230.0672388,9,6,13,1,0,0,NA
231.0300314,12,5,8,0,0,0,NA
231.0661683,13,4,12,0,0,0,NA
231.0875297,10,6,16,0,0,0,NA
231.0987498,9,5,16,2,0,0,NA
231.1239364,11,5,20,0,0,0,NA
231.1351458,10,4,20,2,0,0,NA
231.1602949,12,4,24,0,0,0,NA
233.0456293,12,5,10,0,0,0,NA
233.0668314,9,7,14,0,0,0,NA
233.0820322,13,4,14,0,0,0,NA
233.1032034,10,6,18,0,0,0,NA
233.1547875,15,2,22,0,0,0,NA
234.0621026,8,7,13,1,0,0,NA
234.9893104,11,2,8,0,2,0,NA
235.0249671,11,6,8,0,0,0,NA
235.0258673,12,1,12,0,2,0,NA
235.0613494,12,5,12,0,0,0,NA
235.0976713,13,4,16,0,0,0,NA
235.1187734,10,6,20,0,0,0,NA
235.1340369,14,3,20,0,0,0,NA
235.1704463,15,2,24,0,0,0,NA
236.0776916,8,7,15,1,0,0,NA
236.9679004,9,8,2,0,0,0,NA
237.0405807,11,6,10,0,0,0,NA
237.0616958,8,8,14,0,0,0,NA
237.076964,12,5,14,0,0,0,NA
237.0803631,9,5,18,0,1,0,NA
237.1133203,13,4,18,0,0,0,NA
237.1497107,14,3,22,0,0,0,NA
238.0721562,11,5,13,1,0,0,NA
238.9843561,10,3,8,0,2,0,NA
239.0200265,6,7,11,1,0,1,NA
239.023062,7,7,12,0,1,0,NA
239.0562735,11,6,12,0,0,0,NA
