"delGcox","delGd","delGcat","delGan","delGdis","lambda","ne","stoichCat_donor","stoichCat_h2o","stoichCat_hco3","stoichCat_nh4","stoichCat_hpo4","stoichCat_hs","stoichCat_h","stoichCat_e","stoichCat_acceptor","stoichCat_biom","stoichAn_donor","stoichAn_h2o","stoichAn_hco3","stoichAn_nh4","stoichAn_hpo4","stoichAn_hs","stoichAn_h","stoichAn_e","stoichAn_acceptor","stoichAn_biom","stoichMet_donor","stoichMet_h2o","stoichMet_hco3","stoichMet_nh4","stoichMet_hpo4","stoichMet_hs","stoichMet_h","stoichMet_e","stoichMet_acceptor","stoichMet_biom","C_num","CUE"
-113.688454342001,-454.753817368002,-917.134605789334,-147.245995842045,465.116279069767,0.346590654437412,6,-1,-7,4,2,0,1,3,0,-1.5,0,-0.7,-4.5,1.8,1.2,0,0.7,1.3,0,0,1,-1.04659065443741,-6.92613458106188,3.18636261774965,1.89318130887482,0,1.04659065443741,2.33977196331223,0,-0.519885981656117,1,4,0.238870850738091
-147.066652806816,-882.399916840895,-2577.79614105244,2.623510373204,476.681575474303,0.185935993236385,22,-1,-4,6,2,0,0,4,0,-5.5,0,-0.190909090909091,-0.363636363636363,0.145454545454545,0.181818181818182,0,0,-0.0363636363636373,0,0,1,-0.376845084145476,-1.1073803365819,1.26107050487286,0.553690168290952,0,0,0.707380336581903,0,-1.02264796280012,1,6,0.442268384751776
-194.703397835952,-1752.33058052357,-5605.503817368,-128.085529274845,465.116279069767,0.0601249701678326,50,-1,0,9,0,0,0,9,0,-12.5,0,-0.111111111111111,0.4,0,-0.2,0,0,0.199999999999999,0,-0.338888888888889,1,-0.171236081278944,0.4,0.541124731510493,-0.2,0,0,0.741124731510493,0,-1.0904510159868,1,9,0.648876745375357
-171.291191428319,-1199.03833999823,-3665.06921157867,-28.8330877293206,465.116279069767,0.119038186226373,32,-1,-2,7,1,0,0,6,0,-8,0,-0.142857142857143,0.114285714285715,0,-0.0571428571428572,0,0,0.0571428571428561,0,-0.092857142857143,1,-0.261895329083516,-0.123790658167031,0.83326730358461,0.0618953290835157,0,0,0.771371974501093,0,-1.04516263266813,1,7,0.545474191376614
-160.397420438371,-962.384522630229,-2811.90767631556,2.66438485526659,476.861763631843,0.170534101288643,24,-1,-2,6,1,0,0,5,0,-6,0,-0.175,0.0500000000000007,0.0499999999999998,-0.025,0,0,0.0749999999999988,0,0,1,-0.345534101288643,-0.291068202577285,1.07320460773186,0.145534101288643,0,0,0.927670506443214,0,-1.02320460773186,1,6,0.482345059561693
-168.007676315557,-1512.06908684001,-4286.353817368,-5.32638381577782,465.116279069767,0.107268301881882,36,-1,-6,9,0,0,0,9,0,-9,0,-0.116666666666667,-0.299999999999999,0.0499999999999998,-0.2,0,0,0.249999999999999,0,0,1,-0.223934968548549,-0.943609811291294,1.01541471693694,-0.2,0,0,1.21541471693694,0,-0.965414716936941,1,9,0.49617579528238
-158.00960059189,-1264.07680473512,-3575.98074684178,-5.88907634736002,465.116279069768,0.128419931546887,30,-1,-6,8,1,0,0,7,0,-7.5,0,-0.14,-0.44,0.12,-0.06,0,0,0.179999999999999,0,0,1,-0.268419931546887,-1.21051958928132,1.1473594523751,0.0684199315468871,0,0,1.07893952082821,0,-0.963149486601653,1,8,0.465688219498578
-170.56152140326,-1535.05369262934,-4617.59228210489,-18.3175809122767,465.116279069768,0.0967601015553113,40,-1,-5,9,1,0,0,8,0,-10,0,-0.111111111111111,-0.155555555555555,0,-0.0888888888888889,0,0,0.0888888888888877,0,-0.0611111111111113,1,-0.207871212666422,-0.639356063332111,0.870840913997802,0.00787121266642238,0,0,0.862969701331378,0,-1.02871212666422,1,9,0.534518992244562
-163.717292499779,-1309.73833999823,-3621.64228210489,-12.2816912841956,465.116279069767,0.125035702731631,30,-1,-5,8,0,0,0,8,0,-7.5,0,-0.14,-0.3,0.12,-0.2,0,0,0.319999999999999,0,0,1,-0.265035702731631,-0.925178513658153,1.12028562185305,-0.2,0,0,1.32028562185304,0,-0.93776777048723,1,8,0.471634571160295
-179.448699824298,-1615.03829841868,-4851.703817368,-44.3299737192889,465.116279069767,0.0867295946310982,42,-1,-3,9,0,0,0,9,0,-10.5,0,-0.111111111111111,0.0666666666666669,0,-0.2,0,0,0.199999999999999,0,-0.116666666666667,1,-0.197840705742209,-0.193522117226628,0.780566351679884,-0.2,0,0,0.980566351679883,0,-1.0273274102932,1,9,0.561619059607942
