"delGcox","delGd","delGcat","delGan","delGdis","lambda","stoichCat_donor","stoichCat_h2o","stoichCat_hco3","stoichCat_nh4","stoichCat_hpo4","stoichCat_hs","stoichCat_h","stoichCat_e","stoichCat_acceptor","stoichCat_reduced","stoichCat_biom","stoichAn_donor","stoichAn_h2o","stoichAn_hco3","stoichAn_nh4","stoichAn_hpo4","stoichAn_hs","stoichAn_h","stoichAn_e","stoichAn_acceptor","stoichAn_reduced","stoichAn_biom","stoichMet_donor","stoichMet_h2o","stoichMet_hco3","stoichMet_nh4","stoichMet_hpo4","stoichMet_hs","stoichMet_h","stoichMet_e","stoichMet_acceptor","stoichMet_reduced","stoichMet_biom","C_num","CUE"
-100.84614754925,-403.384590197002,37.0776503283365,-139.825996361789,139.825996361789,-8.7732172839274,-1,2,4,2,0,1,-15,0,-3,9,0,-0.7,-4.5,1.8,1.2,0,0.7,1.3,0,0,0,1,-0.7,-4.5,1.8,1.2,0,0.7,1.3,0,0,0,1,4,0.357142857142857
-122.333321205964,-733.999927235783,881.028288023792,2.41595794018986,-2.41595794018986,-0.542755074429727,-1,29,6,2,0,0,-62,0,-11,33,0,-0.190909090909091,-0.363636363636363,0.145454545454545,0.181818181818182,0,0,-0.0363636363636373,0,0,0,1,-0.190909090909091,-0.363636363636363,0.145454545454545,0.181818181818182,0,0,-0.0363636363636373,0,0,0,1,6,0.873015873015873
-157.286306439791,-1415.57675795812,2254.94191308636,84.7687498624155,-84.7687498624155,-0.409577535974677,-1,75,9,0,0,0,-141,0,-25,75,0,-0.111111111111111,2.43333333333333,0,-0.2,0,0,-3.86666666666667,0,-0.677777777777778,2.03333333333333,1,-0.111111111111111,2.43333333333333,0,-0.2,0,0,-3.86666666666667,0,-0.677777777777778,2.03333333333333,1,9,1
-140.306578214065,-982.146047498452,1366.98590197002,29.5033486898067,-29.5033486898067,-0.456976249252981,-1,46,7,1,0,0,-90,0,-16,48,0,-0.142857142857143,0.671428571428573,0,-0.0571428571428572,0,0,-1.05714285714286,0,-0.185714285714286,0.557142857142858,1,-0.142857142857143,0.671428571428573,0,-0.0571428571428572,0,0,-1.05714285714286,0,-0.185714285714286,0.557142857142858,1,7,1
-132.810242883575,-796.86145730145,964.987504799901,3.09246174835825,-3.09246174835825,-0.499323904911954,-1,34,6,1,0,0,-67,0,-12,36,0,-0.175,0.0500000000000007,0.0499999999999998,-0.025,0,0,0.0749999999999988,0,0,0,1,-0.175,0.0500000000000007,0.0499999999999998,-0.025,0,0,0.0749999999999988,0,0,0,1,6,0.952380952380953
-139.469216776112,-1255.22295098501,1387.55049216702,-3.8994608388056,3.8994608388056,-0.332396421488527,-1,48,9,0,0,0,-99,0,-18,54,0,-0.116666666666667,-0.299999999999999,0.0499999999999998,-0.2,0,0,0.249999999999999,0,0,0,1,-0.116666666666667,-0.299999999999999,0.0499999999999998,-0.2,0,0,0.249999999999999,0,0,0,1,9,0.952380952380953
-131.611525517904,-1052.89220414323,1149.41899848346,-4.86169180394002,4.86169180394002,-0.400423681767124,-1,39,8,1,0,0,-83,0,-15,45,0,-0.14,-0.44,0.12,-0.06,0,0,0.179999999999999,0,0,0,1,-0.14,-0.44,0.12,-0.06,0,0,0.179999999999999,0,0,0,1,8,0.892857142857143
-140.12049789452,-1261.08448105068,1675.33045578491,20.3674768289211,-20.3674768289211,-0.343377206053946,-1,55,9,1,0,0,-112,0,-20,60,0,-0.111111111111111,0.211111111111113,0,-0.0888888888888889,0,0,-0.644444444444448,0,-0.122222222222223,0.366666666666668,1,-0.111111111111111,0.211111111111113,0,-0.0888888888888889,0,0,-0.644444444444448,0,-0.122222222222223,0.366666666666668,1,9,1
-136.605755937306,-1092.84604749845,1109.46515512824,-10.4552298736712,10.4552298736712,-0.409802008737754,-1,40,8,0,0,0,-82,0,-15,45,0,-0.14,-0.3,0.12,-0.2,0,0,0.319999999999999,0,0,0,1,-0.14,-0.3,0.12,-0.2,0,0,0.319999999999999,0,0,0,1,8,0.892857142857143
-147.10511234626,-1323.94601111634,1759.28967256103,29.6962786929336,-29.6962786929336,-0.355668272781067,-1,60,9,0,0,0,-117,0,-21,63,0,-0.111111111111111,0.766666666666667,0,-0.2,0,0,-1.2,0,-0.233333333333333,0.7,1,-0.111111111111111,0.766666666666667,0,-0.2,0,0,-1.2,0,-0.233333333333333,0.7,1,9,1
-149.650410869643,-1346.85369782679,1883.20273269236,43.4643964853041,-43.4643964853041,-0.371805974655719,-1,64,9,0,0,0,-123,0,-22,66,0,-0.111111111111111,1.21111111111111,0,-0.2,0,0,-1.86666666666667,0,-0.344444444444445,1.03333333333333,1,-0.111111111111111,1.21111111111111,0,-0.2,0,0,-1.86666666666667,0,-0.344444444444445,1.03333333333333,1,9,1
-155.504597473423,-1555.04597473423,2409.11418999381,75.1310674077564,-75.1310674077564,-0.361730382191234,-1,80,10,0,0,0,-152,0,-27,81,0,-0.1,2.1,0,-0.2,0,0,-3.4,0,-0.600000000000001,1.8,1,-0.1,2.1,0,-0.2,0,0,-3.4,0,-0.600000000000001,1.8,1,10,1
-136.196690103191,-953.37683072234,955.292878220793,-11.4638097251889,11.4638097251889,-0.474883127140541,-1,36,7,0,0,0,-71,0,-13,39,0,-0.161538461538462,-0.0846153846153843,0.130769230769231,-0.2,0,0,0.33076923076923,0,0,0,1,-0.161538461538462,-0.0846153846153843,0.130769230769231,-0.2,0,0,0.33076923076923,0,0,0,1,7,0.884353741496599
-131.478448105068,-1314.78448105068,1621.63045578491,4.49084626579124,-4.49084626579124,-0.301797644856799,-1,51,10,2,0,0,-112,0,-20,60,0,-0.105,-0.545,0.0499999999999998,0.00999999999999996,0,0,0.0399999999999998,0,0,0,1,-0.105,-0.545,0.0499999999999998,0.00999999999999996,0,0,0.0399999999999998,0,0,0,1,10,0.952380952380953
-157.795366144468,-1577.95366144468,2533.02725012514,87.5223734208899,-87.5223734208899,-0.370491890345792,-1,84,10,0,0,0,-158,0,-28,84,0,-0.1,2.5,0,-0.2,0,0,-4,0,-0.700000000000001,2.1,1,-0.1,2.5,0,-0.2,0,0,-4,0,-0.700000000000001,2.1,1,10,1
-139.469216776112,-976.284517432785,1079.20593835213,-3.89946083880557,3.89946083880557,-0.427366827628106,-1,40,7,0,0,0,-77,0,-14,42,0,-0.15,0.100000000000001,0.0499999999999998,-0.2,0,0,0.249999999999999,0,0,0,1,-0.15,0.100000000000001,0.0499999999999998,-0.2,0,0,0.249999999999999,0,0,0,1,7,0.952380952380953
-148.059599292529,-1184.47679434023,1605.11739565358,34.8593228650726,-34.8593228650726,-0.407226886680966,-1,56,8,0,0,0,-106,0,-19,57,0,-0.125,1.1,0,-0.2,0,0,-1.45,0,-0.275,0.825000000000001,1,-0.125,1.1,0,-0.2,0,0,-1.45,0,-0.275,0.825000000000001,1,8,1
-131.326359633255,-919.284517432785,1283.02668519391,17.5091748646478,-17.5091748646478,-0.436321130867193,-1,42,7,2,0,0,-85,0,-15,45,0,-0.142857142857143,0.100000000000001,0,0.0857142857142857,0,0,-0.342857142857145,0,-0.0428571428571431,0.128571428571429,1,-0.142857142857143,0.100000000000001,0,0.0857142857142857,0,0,-0.342857142857145,0,-0.0428571428571431,0.128571428571429,1,7,1
-154.741007916409,-1392.66907124768,2131.02885295503,71.0006320700451,-71.0006320700451,-0.398451219001026,-1,72,9,0,0,0,-135,0,-24,72,0,-0.111111111111111,2.1,0,-0.2,0,0,-3.2,0,-0.566666666666667,1.7,1,-0.111111111111111,2.1,0,-0.2,0,0,-3.2,0,-0.566666666666667,1.7,1,9,1
-131.833321205964,-790.999927235783,677.207541182011,-23.5667679434023,23.5667679434023,-0.652015053399547,-1,28,6,0,0,0,-54,0,-10,30,0,-0.21,-0.0199999999999998,0.26,-0.2,0,0,0.459999999999999,0,0,0,1,-0.21,-0.0199999999999998,0.26,-0.2,0,0,0.459999999999999,0,0,0,1,6,0.793650793650794
-142.741743449033,-999.19220414323,1203.11899848346,6.0937910488699,-6.0937910488699,-0.413985237943386,-1,44,7,0,0,0,-83,0,-15,45,0,-0.142857142857143,0.385714285714287,0,-0.2,0,0,-0.0571428571428596,0,-0.0428571428571431,0.128571428571429,1,-0.142857142857143,0.385714285714287,0,-0.2,0,0,-0.0571428571428596,0,-0.0428571428571431,0.128571428571429,1,7,1
-150.923060131335,-1207.38448105068,1729.03045578491,50.3484553814894,-50.3484553814894,-0.426491782840842,-1,60,8,0,0,0,-112,0,-20,60,0,-0.125,1.6,0,-0.2,0,0,-2.2,0,-0.4,1.2,1,-0.125,1.6,0,-0.2,0,0,-2.2,0,-0.4,1.2,1,8,1
-135.651268991038,-813.907613946228,801.120601313345,-12.8391458863495,12.8391458863495,-0.564555614275755,-1,32,6,0,0,0,-60,0,-11,33,0,-0.190909090909091,0.209090909090909,0.145454545454545,-0.2,0,0,0.345454545454544,0,0,0,1,-0.190909090909091,0.209090909090909,0.145454545454545,-0.2,0,0,0.345454545454544,0,0,0,1,6,0.873015873015873
-144.050754118201,-1440.50754118201,1789.54888933714,13.1745373420891,-13.1745373420891,-0.299722747082953,-1,61,10,0,0,0,-122,0,-22,66,0,-0.1,0.200000000000002,0,-0.2,0,0,-0.400000000000004,0,-0.100000000000001,0.300000000000002,1,-0.1,0.200000000000002,0,-0.2,0,0,-0.400000000000004,0,-0.100000000000001,0.300000000000002,1,10,1
-149.881801644496,-1648.69981808946,2315.46034663859,44.7160435573379,-44.7160435573379,-0.305319565273252,-1,77,11,0,0,0,-151,0,-27,81,0,-0.0909090909090909,1.1,0,-0.2,0,0,-1.92727272727273,0,-0.354545454545455,1.06363636363636,1,-0.0909090909090909,1.1,0,-0.2,0,0,-1.92727272727273,0,-0.354545454545455,1.06363636363636,1,11,1
-146.594216776112,-1172.7537342089,1029.55746841779,-21.6423060131334,21.6423060131334,-0.43074232052161,-1,37,8,0,0,2,-80,0,-15,45,0,-0.14,-0.72,0.12,-0.2,0,0.28,0.599999999999999,0,0,0,1,-0.14,-0.72,0.12,-0.2,0,0.28,0.599999999999999,0,0,0,1,8,0.892857142857143
-139.469216776112,-1255.22295098501,1387.55049216702,-3.89946083880563,3.89946083880563,-0.332396421488527,-1,49,9,0,0,0,-99,0,-18,54,0,-0.116666666666667,-0.183333333333333,0.0499999999999998,-0.2,0,0,0.249999999999999,0,0,0,1,-0.116666666666667,-0.183333333333333,0.0499999999999998,-0.2,0,0,0.249999999999999,0,0,0,1,9,0.952380952380953
-139.469216776112,-836.815300656672,925.033661444681,-3.8994608388056,3.8994608388056,-0.49859463223279,-1,36,6,0,0,0,-66,0,-12,36,0,-0.175,0.4,0.0499999999999998,-0.2,0,0,0.249999999999999,0,0,0,1,-0.175,0.4,0.0499999999999998,-0.2,0,0,0.249999999999999,0,0,0,1,6,0.952380952380953
-128.748064679098,-1029.98451743278,1025.50593835212,-11.9544608388056,11.9544608388056,-0.441890974282551,-1,36,8,1,0,0,-77,0,-14,42,0,-0.15,-0.499999999999999,0.2,-0.05,0,0,0.249999999999999,0,0,0,1,-0.15,-0.499999999999999,0.2,-0.05,0,0,0.249999999999999,0,0,0,1,8,0.833333333333333
-137.575199371137,-1238.17679434023,1551.41739565358,6.59935903655068,-6.59935903655068,-0.322806605228169,-1,52,9,1,0,0,-106,0,-19,57,0,-0.111111111111111,-0.12222222222222,0,-0.0888888888888889,0,0,0.0222222222222186,0,-0.0111111111111115,0.0333333333333345,1,-0.111111111111111,-0.12222222222222,0,-0.0888888888888889,0,0,0.0222222222222186,0,-0.0111111111111115,0.0333333333333345,1,9,1
-133.742295098501,-1069.93836078801,985.552094996904,-17.947537342089,17.947537342089,-0.45372410448692,-1,37,8,0,0,0,-76,0,-14,42,0,-0.15,-0.349999999999999,0.2,-0.2,0,0,0.399999999999999,0,0,0,1,-0.15,-0.349999999999999,0.2,-0.2,0,0,0.399999999999999,0,0,0,1,8,0.833333333333333
-142.014515299495,-1278.13063769545,1511.46355229836,2.16004310819258,-2.16004310819258,-0.315454846233657,-1,53,9,0,0,0,-105,0,-19,57,0,-0.111111111111111,-0.0111111111111093,0,-0.2,0,0,0.13333333333333,0,-0.0111111111111115,0.0333333333333345,1,-0.111111111111111,-0.0111111111111093,0,-0.2,0,0,0.13333333333333,0,-0.0111111111111115,0.0333333333333345,1,9,1
