"delGcox","delGd","delGcat","delGan","delGdis","lambda","stoichCat_donor","stoichCat_h2o","stoichCat_hco3","stoichCat_nh4","stoichCat_hpo4","stoichCat_hs","stoichCat_h","stoichCat_e","stoichCat_acceptor","stoichCat_biom","stoichCat_donor.1","stoichAn_donor","stoichAn_h2o","stoichAn_hco3","stoichAn_nh4","stoichAn_hpo4","stoichAn_hs","stoichAn_h","stoichAn_e","stoichAn_acceptor","stoichAn_biom","stoichAn_donor.1","stoichMet_donor","stoichMet_h2o","stoichMet_hco3","stoichMet_nh4","stoichMet_hpo4","stoichMet_hs","stoichMet_h","stoichMet_e","stoichMet_acceptor","stoichMet_biom","stoichMet_donor.1","C_num","CUE"
-139.469216776112,-1255.22295098501,-2629.024590197,-3.89946083880563,465.116279069767,0.17543267565877,-1,-5,9,0,0,0,9,0,-4.5,9,0,-0.116666666666667,-0.183333333333333,0.0499999999999998,-0.2,0,0,0.249999999999999,0,0,0,1,-0.292099342325437,-1.06049671162718,1.62889408092893,-0.2,0,0,1.82889408092893,0,-0.789447040464466,1.57889408092893,1,9,0.380388090663069
-139.469216776112,-836.815300656672,-1752.68306013133,-3.8994608388056,465.116279069768,0.263149013488155,-1,0,6,0,0,0,6,0,-3,6,0,-0.175,0.4,0.0499999999999998,-0.2,0,0,0.249999999999999,0,0,0,1,-0.438149013488155,0.4,1.62889408092893,-0.2,0,0,1.82889408092893,0,-0.789447040464466,1.57889408092893,1,6,0.380388090663069
-133.742295098501,-1069.93836078801,-2138.45074684178,-17.947537342089,465.116279069767,0.209108740235467,-1,-5,8,0,0,0,8,0,-3.5,7,0,-0.15,-0.349999999999999,0.2,-0.2,0,0,0.399999999999999,0,0,0,1,-0.359108740235467,-1.39554370117734,1.87286992188374,-0.2,0,0,2.07286992188374,0,-0.731880590824135,1.46376118164827,1,8,0.34808398124211
-142.014515299495,-1278.13063769545,-2728.254590197,-0.319324226600123,465.116279069767,0.170364216196409,-1,-4,9,0,0,0,9,0,-4.75,9.5,0,-0.111111111111111,-0.0444444444444438,0,-0.2,0,0,0.199999999999999,0,-0.00277777777777788,0.00555555555555576,1,-0.28147532730752,-0.72590130923008,1.53327794576768,-0.2,0,0,1.73327794576768,0,-0.812007804710721,1.62401560942144,1,9,0.39474547262794
-144.559813822878,-1301.0383244059,-2827.484590197,-11.3448797821556,465.116279069767,0.160485896496432,-1,-3,9,0,0,0,9,0,-5,10,0,-0.111111111111111,0.0666666666666673,0,-0.2,0,0,0.199999999999998,0,-0.0305555555555557,0.0611111111111113,1,-0.271597007607543,-0.414791022822628,1.44437306846789,-0.2,0,0,1.64437306846788,0,-0.832985038037715,1.66597007607543,1,9,0.409102854592811
-139.469216776112,-1115.7537342089,-2336.91074684178,-3.89946083880563,465.116279069767,0.197361760116116,-1,-3,8,0,0,0,8,0,-4,8,0,-0.13125,0.00625000000000042,0.0499999999999998,-0.2,0,0,0.249999999999999,0,0,0,1,-0.328611760116116,-0.585835280348349,1.62889408092893,-0.2,0,0,1.82889408092893,0,-0.789447040464466,1.57889408092893,1,8,0.380388090663069
-147.10511234626,-1323.94601111634,-2926.714590197,-22.3704353377112,465.116279069768,0.151277423912475,-1,-2,9,0,0,0,9,0,-5.25,10.5,0,-0.111111111111111,0.177777777777778,0,-0.2,0,0,0.199999999999999,0,-0.0583333333333333,0.116666666666667,1,-0.262388535023586,-0.124777070047171,1.36149681521227,-0.2,0,0,1.56149681521227,0,-0.852539808873826,1.70507961774765,1,9,0.423460236557681
-153.213828802379,-1532.13828802379,-3516.51843355222,-48.8317686710444,465.116279069767,0.118379732188184,-1,-1,10,0,0,0,10,0,-6.5,13,0,-0.1,0.3,0,-0.2,0,0,0.199999999999999,0,-0.125,0.25,1,-0.218379732188184,0.181620267811817,1.18379732188184,-0.2,0,0,1.38379732188183,0,-0.894468259223193,1.78893651844639,1,10,0.457917953273371
-145.211094941285,-1306.89985447157,-2985.99074684178,-28.9566749649087,465.116279069767,0.14606863888181,-1,-2,9,1,0,0,8,0,-5.5,11,0,-0.111111111111111,0.177777777777778,0,-0.0888888888888889,0,0,0.0888888888888886,0,-0.0861111111111111,0.172222222222222,1,-0.257179749992921,-0.114359499985843,1.31461774993629,0.0571797499929214,0,0,1.25743799994337,0,-0.889488624961068,1.77897724992214,1,9,0.432036780167059
-142.332677614918,-1138.66142091934,-2436.14074684178,-1.69751867104457,465.116279069767,0.19022659548694,-1,-2,8,0,0,0,8,0,-4.25,8.5,0,-0.125,0.15,0,-0.2,0,0,0.199999999999999,0,-0.00625000000000009,0.0125000000000002,1,-0.31522659548694,-0.230453190973879,1.52181276389552,-0.2,0,0,1.72181276389552,0,-0.814713030819495,1.62942606163899,1,8,0.396540145373549
