"delGcox","delGd","delGcat","delGan","delGdis","lambda","stoichCat_donor","stoichCat_h2o","stoichCat_hco3","stoichCat_nh4","stoichCat_hpo4","stoichCat_hs","stoichCat_h","stoichCat_e","stoichCat_acceptor","stoichCat_biom","stoichAn_donor","stoichAn_h2o","stoichAn_hco3","stoichAn_nh4","stoichAn_hpo4","stoichAn_hs","stoichAn_h","stoichAn_e","stoichAn_acceptor","stoichAn_biom","stoichMet_donor","stoichMet_h2o","stoichMet_hco3","stoichMet_nh4","stoichMet_hpo4","stoichMet_hs","stoichMet_h","stoichMet_e","stoichMet_acceptor","stoichMet_biom","C_num","CUE"
-59.6438384176505,-357.863030505903,-187.011919208826,-2.82992980424263,465.116279069767,2.4719619541967,-1,-6.75,3.25,1,0,0,2.25,0,2.75,0,-0.190909090909091,-0.363636363636363,0.145454545454545,-0.00909090909090914,0,0,0.154545454545454,0,0,1,-2.6628710451058,-17.0493795544641,8.17933089659383,2.4628710451058,0,0,5.71645985148804,0,6.79789537404094,1,6,0.0625890866825829
-51.8969152179307,-363.278406525515,-145.831537601961,10.9976150407844,513.597382475626,3.59726713537276,-1,-9.5,3.5,3,0,0,0.5,0,3.5,0,-0.15,-0.499999999999999,0.0499999999999998,0.25,0,0,-0.200000000000001,0,0,1,-3.74726713537276,-34.6740377860412,12.6404349738047,11.0418014061183,0,0,1.59863356768638,0,12.5904349738047,1,7,0.0381230207765618
-55.3905668230438,-443.12453458435,-132.486150407844,16.3115768800981,537.023073634224,4.17654712444237,-1,-7,3,1,0,0,2,0,5,0,-0.125,0.0500000000000003,-0.1,-0.075,0,0,-0.0250000000000008,0,0.1,1,-4.30154712444237,-29.1858298710966,12.4296413733271,4.10154712444236,0,0,8.32809424888473,0,20.9827356222118,1,8,0.0290593120065387
-56.2601596701576,-506.341437031418,-118.043456810787,19.7564060354356,552.209013301695,4.84538012347385,-1,-6.25,2.75,0,0,0,2.75,0,6.25,0,-0.111111111111111,0.230555555555556,-0.169444444444445,-0.2,0,0,0.0305555555555548,0,0.169444444444445,1,-4.95649123458496,-30.053070216156,13.1553508951086,-0.2,0,0,13.3553508951086,0,30.453070216156,1,9,0.0224172919616623
-63.7343509516376,-382.406105709826,-211.554994412748,-7.51542597953689,465.116279069769,2.16303497991375,-1,-4.75,3.25,0,0,0,3.25,0,2.75,0,-0.190909090909091,0.0181818181818186,0.145454545454545,-0.2,0,0,0.345454545454544,0,0,1,-2.35394407082284,-10.2562343364085,7.17531823017422,-0.2,0,0,7.37531823017422,0,5.9483461947628,1,6,0.0708031548975619
-83.7861504078447,-251.358451223534,-235.826532014709,-462.36337154981,465.116279069767,0.0116734427481043,-1,-5.25,2.75,1,0,2,3.75,0,0.25,0,-2.1,-10.1,5.3,1.9,0,4.2,7.6,0,0,1,-2.1116734427481,-10.1612855744275,5.33210196755729,1.9116734427481,0,4.22334688549621,7.64377541030539,0,0.00291836068702607,1,3,0.157852689997151
-71.6887831042053,-501.821481729437,-315.438451223534,-22.3293832830399,465.116279069767,1.40371883665175,-1,-11,4,0,0,2,6,0,3,0,-0.175,-0.999999999999999,0.225,-0.2,0,0.35,0.774999999999999,0,0,1,-1.57871883665175,-16.4409072031692,5.83987534660698,-0.2,0,3.15743767330349,9.19731301991047,0,4.21115650995524,1,7,0.090489287604957
-63.4046072186311,-507.236857749049,-274.25806961667,-5.52378406525517,465.116279069768,1.67576653495332,-1,-8.75,4.25,0,0,0,4.25,0,3.75,0,-0.14,-0.3,0.12,-0.2,0,0,0.319999999999999,0,0,1,-1.81576653495332,-14.9629571808415,7.24200777355159,-0.2,0,0,7.44200777355159,0,6.28412450607494,1,8,0.0688414493789609
-59.7774261555599,-537.996835400039,-211.826532014709,9.33606434611099,506.272720651785,2.43410860808548,-1,-8.25,3.75,0,0,0,3.75,0,5.25,0,-0.111111111111111,0.00833333333333353,-0.0583333333333333,-0.2,0,0,0.141666666666666,0,0.0583333333333333,1,-2.54521971919659,-20.0730626833718,9.0695739469872,-0.2,0,0,9.2695739469872,0,12.8374035257821,1,9,0.0436548209465326
-57.6670662643185,-576.670662643185,-172.840763213728,15.5882693597059,533.834496241731,3.17878002495305,-1,-8.5,3.5,0,0,0,3.5,0,6.5,0,-0.1,0.0750000000000001,-0.125,-0.2,0,0,0.0749999999999993,0,0.125,1,-3.27878002495305,-26.9446302121009,11.0007300873357,-0.2,0,0,11.2007300873357,0,20.7870701621948,1,10,0.030499148841628
-67.0520795619085,-469.36455693336,-267.449607218631,-10.3310524080848,465.116279069767,1.70045202679962,-1,-8.25,3.75,0,0,1,4.75,0,3.25,0,-0.161538461538462,-0.407692307692307,0.130769230769231,-0.2,0,0.161538461538462,0.492307692307691,0,0,1,-1.86199048833808,-14.4364215287892,6.5074643312678,-0.2,0,1.86199048833808,8.56945481960589,0,5.52646908709877,1,7,0.0767228102140575
-58.8981095342093,-530.082985807884,-188.380763213728,11.9411497684422,517.756793814264,2.8118473168183,-1,-7.5,3.5,0,0,0,3.5,0,5.5,0,-0.111111111111111,0.0916666666666669,-0.0861111111111111,-0.2,0,0,0.113888888888888,0,0.0861111111111111,1,-2.92295842792941,-20.9971882094706,9.75535449775293,-0.2,0,0,9.95535449775293,0,15.5512713536117,1,9,0.0380132368799446
-70.4628133496764,-422.776880098059,-282.989607218631,-33.1585626699354,465.116279069767,1.52640840999546,-1,-7.25,3.75,0,0,1,4.75,0,2.25,0,-0.233333333333333,-0.766666666666666,0.4,-0.2,0,0.233333333333333,0.833333333333332,0,0,1,-1.7597417433288,-11.8331276391338,6.12403153748299,-0.2,0,1.7597417433288,8.08377328081179,0,3.43441892248979,1,6,0.0947108672613479
-65.4206105709826,-327.103052854913,-249.443456810786,-71.8939061794516,465.116279069767,1.57639882768539,-1,-8.25,3.75,2,0,1,2.75,0,1.25,0,-0.42,-2.54,1.1,0.64,0,0.42,0.879999999999999,0,0,1,-1.99639882768539,-15.5452903284045,7.01149560382023,3.79279765537079,0,1.99639882768539,5.21509677613483,0,1.97049853460674,1,5,0.100180383411604
-63.5459259613482,-444.821481729437,-242.906532014708,-6.36640179822043,465.116279069767,1.88858600658696,-1,-6.25,3.75,0,0,0,3.75,0,3.25,0,-0.161538461538462,-0.0846153846153843,0.130769230769231,-0.2,0,0,0.33076923076923,0,0,1,-2.05012446812543,-11.8882779257839,7.21296675547035,-0.2,0,0,7.41296675547035,0,6.13790452140764,1,7,0.0696821803155041
-58.0187929128588,-522.169136215729,-164.934994412748,14.5462351907733,529.24086697674,3.29697832836308,-1,-6.75,3.25,0,0,0,3.25,0,5.75,0,-0.111111111111111,0.175,-0.113888888888889,-0.2,0,0,0.0861111111111104,0,0.113888888888889,1,-3.40808943947419,-22.0796037164508,10.6012906782911,-0.2,0,0,10.8012906782911,0,19.0715142769766,1,9,0.0326021699501682
-56.0842963458875,-560.842963458875,-125.949225611767,20.277423119902,554.505827934193,4.56361083811535,-1,-7,3,0,0,0,3,0,7,0,-0.1,0.225,-0.175,-0.2,0,0,0.024999999999999,0,0.175,1,-4.66361083811535,-31.7202758668075,13.5158325143461,-0.2,0,0,13.7158325143461,0,32.1202758668075,1,10,0.021442612488741
-62.4153760196117,-436.907632137282,-219.460763213728,-0.0467688009805647,465.116279069767,2.1191465091911,-1,-5.5,3.5,0,0,0,3.5,0,3.5,0,-0.15,0.100000000000001,0.0499999999999998,-0.2,0,0,0.249999999999999,0,0,1,-2.2691465091911,-11.5553058005511,7.46701278216886,-0.2,0,0,7.66701278216885,0,7.41701278216886,1,7,0.0629563328231583
-59.4476824225535,-475.581459380428,-180.474994412748,10.3129713794852,510.579248087715,2.88622931482637,-1,-5.75,3.25,0,0,0,3.25,0,4.75,0,-0.125,0.20625,-0.0687500000000001,-0.2,0,0,0.131249999999999,0,0.0687500000000001,1,-3.01122931482637,-16.3895685602517,9.31149527318572,-0.2,0,0,9.51149527318572,0,13.7783392454253,1,8,0.0415112855685013
-57.1394762915082,-514.255286623574,-141.489225611767,17.1513206131045,540.724940139217,3.94288864286446,-1,-6,3,0,0,0,3,0,6,0,-0.111111111111111,0.258333333333334,-0.141666666666667,-0.2,0,0,0.0583333333333327,0,0.141666666666667,1,-4.05399975397557,-23.3989985238534,11.6869992619267,-0.2,0,0,11.8869992619267,0,23.7989985238534,1,9,0.0274077745076698
