"delGcox","delGd","delGcat","delGan","delGdis","lambda","stoichCat_donor","stoichCat_h2o","stoichCat_hco3","stoichCat_nh4","stoichCat_hpo4","stoichCat_hs","stoichCat_h","stoichCat_e","stoichCat_acceptor","stoichCat_reduced","stoichCat_biom","stoichAn_donor","stoichAn_h2o","stoichAn_hco3","stoichAn_nh4","stoichAn_hpo4","stoichAn_hs","stoichAn_h","stoichAn_e","stoichAn_acceptor","stoichAn_reduced","stoichAn_biom","stoichMet_donor","stoichMet_h2o","stoichMet_hco3","stoichMet_nh4","stoichMet_hpo4","stoichMet_hs","stoichMet_h","stoichMet_e","stoichMet_acceptor","stoichMet_reduced","stoichMet_biom","C_num","CUE"
-41.7153779686532,-333.723023749226,-1549.90007276422,-4.06261493683561,465.116279069768,0.297473154711614,-1,70,8,0,0,0,-52,0,-30,30,0,-0.14,-0.3,0.12,-0.2,0,0,0.319999999999999,0,0,0,1,-0.437473154711614,20.523120829813,2.49978523769291,-0.2,0,0,-15.1486040450039,0,-8.92419464134843,8.92419464134843,1,8,0.285731818407008
-42.9938397170116,-214.969198585058,-944.675427994052,-7.5008712817907,465.116279069767,0.484415487295662,-1,45,5,0,0,0,-31,0,-18,18,0,-0.233333333333333,0.4,0.166666666666666,-0.2,0,0,0.366666666666666,0,0,0,1,-0.717748820628995,22.1986969283048,2.58874410314498,-0.2,0,0,-14.6502134394989,0,-8.71947877132192,8.71947877132192,1,5,0.278649012372784
-28.9307604850701,-115.72304194028,-967.046976250774,-28.8383488125387,465.116279069768,0.451144505873615,-1,50,4,2,1,0,-38,0,-21,21,0,-0.25,2.4,0,0.3,0.25,0,-1.9,0,-1.05,1.05,1,-0.701144505873615,24.9572252936808,1.80457802349446,1.20228901174723,0.701144505873615,0,-19.0434912231974,0,-10.5240346233459,10.5240346233459,1,4,0.356559878749251
-32.0085387681549,-288.076848913394,-2071.80318746871,-17.2769589130357,465.116279069768,0.216159200287694,-1,108,9,0,0,0,-79,0,-44,44,0,-0.111111111111111,1.9,0,-0.2,0,0,-1.17777777777778,0,-0.688888888888889,0.688888888888889,1,-0.327270311398805,25.2451936310709,1.94543280258924,-0.2,0,0,-18.2543546005056,0,-10.1998937015474,10.1998937015474,1,9,0.33950867903723
-42.0197736230243,-294.13841536117,-1348.1585245075,-4.85605870874828,465.116279069768,0.341399184142058,-1,62,7,0,0,0,-45,0,-26,26,0,-0.161538461538462,-0.0846153846153843,0.130769230769231,-0.2,0,0,0.33076923076923,0,0,0,1,-0.502937645680519,21.0821340321922,2.52056351976363,-0.2,0,0,-15.0321940556234,0,-8.8763787876935,8.8763787876935,1,7,0.284045436017907
-25.947683072234,-259.47683072234,-2529.67398888366,-40.0440036382107,465.116279069768,0.168034409690531,-1,140,10,0,0,0,-102,0,-56,56,0,-0.1,3.9,0,-0.2,0,0,-2.6,0,-1.4,1.4,1,-0.268034409690531,27.4248173566744,1.68034409690531,-0.2,0,0,-19.7395097884342,0,-10.8099269426698,10.8099269426698,1,10,0.373086426162442
-39.584608388056,-277.092258716392,-1412.19083779705,1.09476958059721,469.942383370172,0.333550636602037,-1,68,7,0,0,0,-49,0,-28,28,0,-0.15,0.100000000000001,0.0499999999999998,-0.2,0,0,0.249999999999999,0,0,0,1,-0.483550636602037,22.7814432889385,2.38485445621426,-0.2,0,0,-16.0939811934998,0,-9.33941782485703,9.33941782485703,1,7,0.295433677558602
-33.1922996462644,-265.538397170116,-1806.02932592244,-12.8302704901499,465.116279069766,0.250431154183285,-1,94,8,0,0,0,-68,0,-38,38,0,-0.125,1.65,0,-0.2,0,0,-0.900000000000002,0,-0.550000000000001,0.550000000000001,1,-0.375431154183285,25.1905284932288,2.00344923346628,-0.2,0,0,-17.9293184844634,0,-10.0663838589648,10.0663838589648,1,8,0.332950525301837
-28.2205039582043,-253.984535623839,-2199.86781404782,-31.5063618662701,465.116279069767,0.197107260006519,-1,120,9,0,0,0,-87,0,-48,48,0,-0.111111111111111,3.23333333333333,0,-0.2,0,0,-2.06666666666667,0,-1.13333333333333,1.13333333333333,1,-0.30821837111763,26.8862045341156,1.77396534005867,-0.2,0,0,-19.2149982872338,0,-10.5944818136463,10.5944818136463,1,9,0.360494770990487
-46.709608388056,-373.676867104448,-1589.85391611944,-9.65615300656667,465.116279069767,0.286479230226951,-1,67,8,0,0,2,-50,0,-30,30,0,-0.14,-0.72,0.12,-0.2,0,0.28,0.599999999999999,0,0,0,1,-0.426479230226951,18.4741084252057,2.4118338418156,-0.2,0,0.852958460453901,-13.7239615113475,0,-8.59437690680852,8.59437690680852,1,8,0.293097508953675
