"delGcox","delGd","delGcat","delGan","delGdis","lambda","stoichCat_donor","stoichCat_h2o","stoichCat_hco3","stoichCat_nh4","stoichCat_hpo4","stoichCat_hs","stoichCat_h","stoichCat_e","stoichCat_acceptor","stoichCat_reduced","stoichCat_biom","stoichAn_donor","stoichAn_h2o","stoichAn_hco3","stoichAn_nh4","stoichAn_hpo4","stoichAn_hs","stoichAn_h","stoichAn_e","stoichAn_acceptor","stoichAn_reduced","stoichAn_biom","stoichMet_donor","stoichMet_h2o","stoichMet_hco3","stoichMet_nh4","stoichMet_hpo4","stoichMet_hs","stoichMet_h","stoichMet_e","stoichMet_acceptor","stoichMet_reduced","stoichMet_biom","C_num","CUE"
-76.9603754998673,-615.683003998938,-1164.06009979093,-6.4370147705174,465.116279069768,0.394034005960373,-1,70,8,0,0,0,-52,0,-30,30,0,-0.14,-0.3,0.12,-0.2,0,0,0.319999999999999,0,0,0,1,-0.534034005960373,27.2823804172261,3.27227204768299,-0.2,0,0,-20.1697683099394,0,-11.8210201788112,11.8210201788112,1,8,0.234067491217545
-77.1258373261873,-385.629186630936,-714.655444106128,-10.2215377578844,465.116279069769,0.63652315960575,-1,45,5,0,0,0,-31,0,-18,18,0,-0.233333333333333,0.4,0.166666666666666,-0.2,0,0,0.366666666666666,0,0,0,1,-0.869856492939083,29.0435421822587,3.34928246469541,-0.2,0,0,-19.3655512811116,0,-11.4574168729035,11.4574168729035,1,5,0.229922983415618
-75.3057572366675,-301.22302894667,-685.086996001061,-14.7403498000531,465.116279069767,0.657399617710765,-1,50,4,2,1,0,-38,0,-21,21,0,-0.25,2.4,0,0.3,0.25,0,-1.9,0,-1.05,1.05,1,-0.907399617710765,35.2699808855383,2.62959847084306,1.61479923542153,0.907399617710765,0,-26.8811854730091,0,-14.8553919719261,14.8553919719261,1,4,0.275512569236819
-75.7040912629934,-681.336821366941,-1485.62322852852,-8.53784841406799,465.116279069768,0.307331241116855,-1,108,9,0,0,0,-79,0,-44,44,0,-0.111111111111111,1.9,0,-0.2,0,0,-1.17777777777778,0,-0.688888888888889,0.688888888888889,1,-0.418442352227966,35.0917740406204,2.7659811700517,-0.2,0,0,-25.4569458260093,0,-14.2114634980305,14.2114634980305,1,9,0.265535050454401
-76.9997711728006,-538.998398209604,-1014.25854789599,-7.31036622914052,465.116279069769,0.451370031625873,-1,62,7,0,0,0,-45,0,-26,26,0,-0.161538461538462,-0.0846153846153843,0.130769230769231,-0.2,0,0,0.33076923076923,0,0,0,1,-0.612908493164335,27.9003265761888,3.29035945215034,-0.2,0,0,-19.9808821923951,0,-11.7356208222727,11.7356208222727,1,7,0.233080703645658
-74.9196796419209,-749.196796419209,-1772.83404189759,-20.7520049895461,465.116279069769,0.250651929948608,-1,140,10,0,0,0,-102,0,-56,56,0,-0.1,3.9,0,-0.2,0,0,-2.6,0,-1.4,1.4,1,-0.350651929948608,38.9912701928051,2.50651929948608,-0.2,0,0,-28.166496854758,0,-15.4365080771221,15.4365080771221,1,10,0.285183087441316
-76.684605789334,-536.792240525338,-1048.61086326452,-0.760230289466677,465.116279069768,0.442829714098777,-1,68,7,0,0,0,-49,0,-28,28,0,-0.15,0.100000000000001,0.0499999999999998,-0.2,0,0,0.249999999999999,0,0,0,1,-0.592829714098777,30.2124205587168,3.14980799869144,-0.2,0,0,-21.4486559908401,0,-12.3992319947658,12.3992319947658,1,7,0.240975004220757
-75.8572966577341,-606.858373261873,-1301.46936126506,-6.15227095791987,465.116279069765,0.352650643781367,-1,94,8,0,0,0,-68,0,-38,38,0,-0.125,1.65,0,-0.2,0,0,-0.900000000000002,0,-0.550000000000001,0.550000000000001,1,-0.477650643781367,34.7991605154485,2.82120515025094,-0.2,0,0,-24.880243777133,0,-13.9507244636919,13.9507244636919,1,8,0.261697543230394
-75.2138339998231,-676.924505998408,-1554.32785926559,-16.1716962737419,465.116279069767,0.288835190156181,-1,120,9,0,0,0,-87,0,-48,48,0,-0.111111111111111,3.23333333333333,0,-0.2,0,0,-2.06666666666667,0,-1.13333333333333,1.13333333333333,1,-0.399946301267292,37.8935561520751,2.59951671140563,-0.2,0,0,-27.1953282102544,0,-14.99742246083,14.99742246083,1,9,0.277815073571223
-83.809605789334,-670.476846314672,-1218.85394210666,-14.10815269472,465.116279069766,0.370026391837833,-1,67,8,0,0,2,-50,0,-30,30,0,-0.14,-0.72,0.12,-0.2,0,0.28,0.599999999999999,0,0,0,1,-0.510026391837833,24.0717682531348,3.08021113470266,-0.2,0,1.02005278367567,-17.9013195918917,0,-11.100791755135,11.100791755135,1,8,0.245085356366705
